prima_asigurare,tip_plata,suma,tip_polita
519,CASH,519,1
519,CASH,519,1
497,CASH,497,1
497,CASH,497,1
283,CASH,283,1
283,CASH,283,1
1261,OP,127,2
1261,OP,126,2
1261,OP,126,2
1261,OP,126,2
1261,OP,126,2
1261,OP,126,2
1261,OP,126,2
1261,OP,126,2
1261,OP,126,2
1261,OP,126,2
696,OP,245.32,2
696,OP,239.26,2
696,OP,238.77,2
696,OP,239.37,2
696,OP,237.39,2
696,OP,239.86,2
696,OP,242.89,2
696,OP,244.96,2
696,OP,247.06,2
364,OP,182,5
187.5,OP,98,5
187.5,OP,89.5,5
636,CASH,636,1
636,CASH,636,1
170,OP,730,2
316,OP,1338.17,2
738,OP,738,1
562,CASH,100,2
562,CASH,100,2
562,OP,154,2
562,OP,154,2
2334,OP,2334,2
430,CASH,430,1
430,CASH,430,1
586,CASH,586,1
586,CASH,586,1
1,CASH,1,1
1,CASH,1,1
2396,OP,245,2
2396,OP,239,2
2396,OP,239,2
2396,OP,239,2
2396,OP,239,2
2396,OP,239,2
2396,OP,239,2
2396,OP,239,2
2396,OP,239,2
3220,OP,805,3
3220,OP,805,3
3220,OP,805,3
3220,OP,805,3
2118,OP,531,3
2118,OP,529,3
2118,OP,529,3
2118,OP,529,3
175,OP,429.23,3
175,OP,306.97,3
175,OP,429.23,3
175,OP,306.97,3
300,OP,643.46,3
300,OP,613.94,3
470,CASH,470,3
470,CASH,470,3
121,CASH,513.45,3
121,CASH,513.45,3
230,CASH,230,3
230,CASH,230,3
152,CASH,320.5,3
152,CASH,320.5,3
152,OP,318.27,3
390,CASH,90,3
390,CASH,90,3
390,OP,100,3
390,OP,100,3
650,CASH,650,3
650,CASH,650,3
228,CASH,485.85,3
228,CASH,485.85,3
228,OP,470.48,3
159,CASH,672.46,3
159,CASH,672.46,3
5,CASH,21.48,6
5,CASH,21.48,6
175,CASH,751.92,6
175,CASH,751.92,6
500.65,CASH,500.65,6
500.65,CASH,500.65,6
175,CASH,751.92,6
175,CASH,751.92,6
41.72,CASH,41.72,6
41.72,CASH,41.72,6
41.72,OP,41.38,6
167.98,OP,167.98,6
487.17,OP,487.17,6
167.99,OP,167.99,6
415.77,OP,415.77,6
167.99,OP,167.99,6
209.98,OP,209.98,6
41.32,CASH,41.32,6
41.32,CASH,41.32,6
